sku;custo;imposto;observacao
KIT2POLTRONASMONACORINOCARAMELO;680,00;7%;custo facilitaa.xlsx — Kit Mona
POLTRONANUVEMCONFORT-BEGE;350,00;7%;custo facilitaa.xlsx — Poltrona Nuvem Manu Confort
POLTRONANUVEMCONFORTBEGE;350,00;7%;custo facilitaa.xlsx — Poltrona Nuvem Manu Confort
POLTRONANUVEMCONFORT-CINZA;350,00;7%;custo facilitaa.xlsx — Poltrona Nuvem Manu Confort
POLTRONANUVEMCONFORTCINZA;350,00;7%;custo facilitaa.xlsx — Poltrona Nuvem Manu Confort
POLTRONABENY-GRAFITE;350,00;7%;custo facilitaa.xlsx — Poltrona Benny
POLTRONABENYGRAFITE;350,00;7%;custo facilitaa.xlsx — Poltrona Benny
SOFANUVEM-CINZA;550,00;7%;custo facilitaa.xlsx — Sofá Nuvem Manu Confort
SOFANUVEMCINZA;550,00;7%;custo facilitaa.xlsx — Sofá Nuvem Manu Confort
POLTRONABENY-CINZA;350,00;7%;custo facilitaa.xlsx — Poltrona Benny
POLTRONABENYCINZA;350,00;7%;custo facilitaa.xlsx — Poltrona Benny
SOFANUVEM-BEGE;550,00;7%;custo facilitaa.xlsx — Sofá Nuvem Manu Confort
SOFANUVEMBEGE;550,00;7%;custo facilitaa.xlsx — Sofá Nuvem Manu Confort
POLTRONABENY-BEGE;350,00;7%;custo facilitaa.xlsx — Poltrona Benny
POLTRONABENYBEGE;350,00;7%;custo facilitaa.xlsx — Poltrona Benny
PoltronaBeny/Bege;350,00;7%;custo facilitaa.xlsx — Poltrona Benny
SOFACAMA-AZULMARINHO180;762,00;7%;custo facilitaa.xlsx — Sofá Cama 1,80 (Yara Pé Ferro)
SOFACAMAAZULMARINHO180;762,00;7%;custo facilitaa.xlsx — Sofá Cama 1,80 (Yara Pé Ferro)
SOFACAMA-AZULTURQUESA180;762,00;7%;custo facilitaa.xlsx — Sofá Cama 1,80 (Yara Pé Ferro)
SOFACAMA-AMARELO180;762,00;7%;custo facilitaa.xlsx — Sofá Cama 1,80 (Yara Pé Ferro)
SOFACAMAAMARELO180;762,00;7%;custo facilitaa.xlsx — Sofá Cama 1,80 (Yara Pé Ferro)
KIT4POLTRONASSUITSPRETO;516,00;7%;custo facilitaa.xlsx — Poltrona Suits x4
KIT2PUFFGRECIA-BEGE;680,00;7%;custo facilitaa.xlsx — Puff Poltrona Elegance/Grécia x2
SOFABENY-GRAFITE140;580,00;7%;custo facilitaa.xlsx — Sofá benny 1,40
SOFABENYGRAFITE140;580,00;7%;custo facilitaa.xlsx — Sofá benny 1,40
SOFABENY-BEGE140;580,00;7%;custo facilitaa.xlsx — Sofá benny 1,40
SOFABENYBEGE140;580,00;7%;custo facilitaa.xlsx — Sofá benny 1,40
SOFACAMA-AZUL180;762,00;7%;custo facilitaa.xlsx — Sofá Cama 1,80 (Yara Pé Ferro)
SOFACAMAAZUL180;762,00;7%;custo facilitaa.xlsx — Sofá Cama 1,80 (Yara Pé Ferro)
SOFABENY-CINZA180;610,00;7%;custo facilitaa.xlsx — Sofá benny 1,80
SOFABENY180_CINZA;610,00;7%;custo facilitaa.xlsx — Sofá benny 1,80
SOFABENYCINZA180;610,00;7%;custo facilitaa.xlsx — Sofá benny 1,80
PUFFGRECIA-CINZA;340,00;7%;custo facilitaa.xlsx — Puff Poltrona Elegance/Grécia
SOFACAMAAZULTURQUESA;762,00;7%;
SOFABENY_CINZA;610,00;7%;
Monalisa Cinza;660,00;7%;SKU solto — não dá para saber que produto é
Monalisa Bege;660,00;7%;SKU solto — não dá para saber que produto é
puf-preto-corino;450,00;7%;SKU solto — não dá para saber que produto é
puf;450,00;7%;SKU solto — não dá para saber que produto é
puff;490,00;7%;SKU solto — não dá para saber que produto é
caramelo;330,00;7%;SKU solto — não dá para saber que produto é
kit mona caramelo;680,00;7%;custo facilitaa.xlsx — Kit Mona
corino preto;330,00;7%;SKU solto — não dá para saber que produto é
mona cinza veludo;330,00;7%;SKU solto — não dá para saber que produto é
puff caramelo;450,00;7%;SKU solto — não dá para saber que produto é
puff grafite sofa-beny-180;550,00;7%;SKU solto — não dá para saber que produto é
caramelo 180;550,00;7%;SKU solto — não dá para saber que produto é
kit-grecia-organico;680,00;7%;custo facilitaa.xlsx — Puff Poltrona Elegance/Grécia x2
mona bege-kit;680,00;7%;custo facilitaa.xlsx — Kit Mona
puff sofabeny-140grafite;490,00;7%;SKU solto — não dá para saber que produto é
puff sofabeny-140-bege;490,00;7%;SKU solto — não dá para saber que produto é
Puff Beny-bege-90;350,00;7%;SKU solto — não dá para saber que produto é
mona 2un;680,00;7%;custo facilitaa.xlsx — Kit Mona
grafite140;490,00;7%;SKU solto — não dá para saber que produto é
beny linho preto;350,00;7%;SKU solto — não dá para saber que produto é
beny 60cm cinza;350,00;7%;SKU solto — não dá para saber que produto é
puff s0fa-camm cinza;750,00;7%;SKU solto — não dá para saber que produto é
bege;330,00;7%;SKU solto — não dá para saber que produto é
mona;0,00;0%;SKU solto — não dá para saber que produto é
KIT4CADEIRASSUITSNUDE;508,00;7%;custo facilitaa.xlsx — Cadeira Suits x4
KIT2POLTRONASSUITSPRETA;258,00;7%;custo facilitaa.xlsx — Poltrona Suits x2
KIT4POLTRONASSUITS;516,00;7%;custo facilitaa.xlsx — Poltrona Suits x4
POLTBENYCINZA;350,00;7%;custo facilitaa.xlsx — Poltrona Benny
SOFABENYCINZA140;580,00;7%;custo facilitaa.xlsx — Sofá benny 1,40
SOFABENYCARAMELO140;580,00;7%;custo facilitaa.xlsx — Sofá benny 1,40
KIT2CADEIRASMONA;680,00;7%;custo facilitaa.xlsx — Kit Mona
puff grecia Cappuccino;340,00;7%;custo facilitaa.xlsx — Puff Poltrona Elegance/Grécia
POLTRONAMONA;340,00;7%;custo facilitaa.xlsx — Poltrona Mona
SOFAYARA_AZUL;762,00;9%;custo facilitaa.xlsx — Sofá Cama 1,80 (Yara Pé Ferro)
SOFAYARA_MARROM;762,00;9%;custo facilitaa.xlsx — Sofá Cama 1,80 (Yara Pé Ferro)
SOFAYARABEGE;762,00;9%;custo facilitaa.xlsx — Sofá Cama 1,80 (Yara Pé Ferro)
SOFAYARA_BEGE;762,00;9%;custo facilitaa.xlsx — Sofá Cama 1,80 (Yara Pé Ferro)
SOFAYARA_CINZA;762,00;9%;custo facilitaa.xlsx — Sofá Cama 1,80 (Yara Pé Ferro)
POLTBENYCORINO_PRETO;374,50;7%;custo facilitaa.xlsx — Poltrona Benny Corino
POLTBENYLINHO_BEGE;350,00;7%;custo facilitaa.xlsx — Poltrona Benny
SOFAYARA_PRETO;762,00;9%;custo facilitaa.xlsx — Sofá Cama 1,80 (Yara Pé Ferro)
POLTBENYLINHO_GRAFITE;350,00;7%;custo facilitaa.xlsx — Poltrona Benny
POLTBENYLINHO_CINZA;350,00;7%;custo facilitaa.xlsx — Poltrona Benny
SOFAYARA_TERRACOTA;762,00;9%;custo facilitaa.xlsx — Sofá Cama 1,80 (Yara Pé Ferro)
KIT2POLTRONAMONA-BEGE;680,00;7%;custo facilitaa.xlsx — Kit Mona
KIT2POLTRONASMONA-GRAFITE;680,00;7%;custo facilitaa.xlsx — Kit Mona
POLTRONABENY-CORINOPRETO;374,50;7%;custo facilitaa.xlsx — Poltrona Benny Corino
POLTRONAEROS-OFFWHITE;480,00;7%;custo facilitaa.xlsx — Poltrona Papai Eros
POLTRONAEROS-PRETO;480,00;7%;custo facilitaa.xlsx — Poltrona Papai Eros
POLTRONAMONA-CORINOMARROM;340,00;7%;custo facilitaa.xlsx — Poltrona Mona
POLTRONAMONA-GRAFITE;340,00;7%;custo facilitaa.xlsx — Poltrona Mona
POLTRONAMONA-PRETO;340,00;7%;custo facilitaa.xlsx — Poltrona Mona
POLTRONAMONA-VELUDOAZUL;340,00;7%;custo facilitaa.xlsx — Poltrona Mona
PUFFELEGANCE-OFF/CARAMELO;340,00;7%;custo facilitaa.xlsx — Puff Poltrona Elegance/Grécia
PUFFGRECIA-BEGE;340,00;7%;custo facilitaa.xlsx — Puff Poltrona Elegance/Grécia
PUFFGRECIA-PRETO;340,00;7%;custo facilitaa.xlsx — Puff Poltrona Elegance/Grécia
SOFABENY-LINHOAZUL140;580,00;7%;custo facilitaa.xlsx — Sofá benny 1,40
SOFACAMA-TERRACOTA180;762,00;7%;custo facilitaa.xlsx — Sofá Cama 1,80 (Yara Pé Ferro)
SOFACAMA-VERDE180;762,00;7%;custo facilitaa.xlsx — Sofá Cama 1,80 (Yara Pé Ferro)
SOFAYARA-AZUL180;765,0;9%;PRECIFICACAO-18-NOVOS
SOFAYARA-BEGE180;765,0;9%;PRECIFICACAO-18-NOVOS
SOFAYARA-CINZA180;765,0;9%;PRECIFICACAO-18-NOVOS
SOFAYARA-MARROM180;765,1;9%;PRECIFICACAO-18-NOVOS
SOFAYARA-PRETO180;765,0;9%;PRECIFICACAO-18-NOVOS
SOFAYARA-TERRACOTA180;765,0;9%;PRECIFICACAO-18-NOVOS
SOFAMILAO-PRETO180;600,0;7%;PRECIFICACAO-18-NOVOS
SOFACAMA-VERMELHO180;762,0;7%;PRECIFICACAO-18-NOVOS
POLTRONAEROS-PRETA;480,0;7%;PRECIFICACAO-18-NOVOS
POLTRONAMONA-LINHOBEGE;330,0;7%;PRECIFICACAO-18-NOVOS
POLTRONAMONA-LINHOPRETO;330,0;7%;PRECIFICACAO-18-NOVOS
POLTNEWMONA;340,0;7%;PRECIFICACAO-18-NOVOS
POLTRONAEROS-CAFE;480,0;7%;MEDIDAS-E-EMBALAGEM
ESCME4153VERM;192,0;7%;PRECIFICACAO-FACILITA frete=106.85
ESCME4153AZUL;192,0;7%;PRECIFICACAO-FACILITA frete=106.85
POLTRONAEROS-BEGE;480,0;7%;PRECIFICACAO-FACILITA frete=40.85
PUFFGRECIA-CAPPUCCINO2;340,0;7%;PRECIFICACAO-FACILITA frete=76.13
PUFFGRECIA-CRU;340,0;7%;PRECIFICACAO-FACILITA frete=76.13
PUFFGRECIA-BEGE2;340,0;7%;PRECIFICACAO-FACILITA frete=67.88
SOFABENY-LINHOVERDE140;580,0;7%;PRECIFICACAO-FACILITA frete=65.85
SOFABENY-CORINOPRETO140;670,0;7%;PRECIFICACAO-FACILITA frete=70.95
SOFABENY-LINHOAZUL180;610,0;7%;PRECIFICACAO-FACILITA frete=65.85
SOFABENY-CORINOPRETO180;700,0;7%;PRECIFICACAO-FACILITA frete=91.95
SOFAYARAFORNEC-MARROM140;650,0;9%;PRECIFICACAO-FACILITA frete=65.85
SOFAYARAFORNEC-CINZA140;650,0;9%;PRECIFICACAO-FACILITA frete=65.85
SOFAYARAFORNEC-BEGE140;650,0;9%;PRECIFICACAO-FACILITA frete=40.85
