mlb_origem;rota;titulo;preco;tipo;estoque_origem;categoria;catalog_product_id;family_name;variacoes;fotos;envio;frete_gratis;status_origem;tem_descricao
MLB4657462791;catalogo;Poltrona Cadeira Glória Mamãe E Papai Com Encosto Macio Reclinável E Retrátil Para Sala De Descanso E Amamentação Cor Bege Liso;799;gold_special;10003;MLB416807;MLB66447623;Poltrona Cadeira Glória Mamãe E Papai Com Encosto Macio Reclinável E Retrátil Para Sala De Descanso E Amamentação Cor Bege Liso;0;9;me2;1;active;1
MLB6783364246;catalogo;Poltrona Reclinável Papai Para Sala De Descanso Em Corino Preto;878.1;gold_special;9929;MLB416807;MLB48484032;Retratil TB ECCOMERCE Cadeira Reclinare Poltrona 1;0;5;me2;1;active;1
MLB7525738158;tradicional;Poltrona Do Papai Amamentação Reclinável Para Sala De Estar Marrom Liso;899;gold_special;10000;MLB1626;MLB75833544;Poltrona Do Papai Amamentação Reclinável Para Sala De Estar;0;8;me2;1;paused;1
MLB7237432008;catalogo;Poltrona Papai Reclinável De Corino Marrom Para Sala De Estar E Amamentação Liso;999;gold_special;9966;MLB416807;MLB65303184;Bonan Reclinável Poltrona Papai Premium Poltrona Papai Reclinável Poltrona 1;0;6;me2;1;active;1
MLB4964204977;catalogo;Cama Infantil Montessoriana Encanto Jb Estofados De Espuma D26 Com Colchão, Capa Removível E Proteção Lateral Para Menino E Menina Azul-marinho Liso;899;gold_special;9969;MLB3231;MLB75835543;Jb Estofados Encanto Montessoriana Infantil Juvenil Berço;0;8;me2;1;active;1
MLB7521583024;catalogo;Cama Infantil Montessoriana Lisa 100% Espuma D26 Segurança E Conforto Para Menino E Menina Capa Removível Com Colchão Cor Azul Marinho - Jb Estofados;899;gold_special;9999;MLB3231;MLB75618450;Jb Estofados Lisa Infantil Juvenil Montessori Berço;0;6;me2;1;active;1
MLB5187997983;tradicional;Retratil Tb Eccomerce Cadeira Reclinare Poltrona 1 Preto;799;gold_special;10000;MLB416807;MLB62320463;Retratil Tb Eccomerce Cadeira Reclinare Poltrona 1;0;9;me2;1;paused;1
MLB5188147727;catalogo;Cama Infantil Montessoriana 100% Espuma D26 Com Proteção Lateral Para Menino E Menina Com Colchão 150x70 Cor Azul - Jb Estofados Azul-marinho Liso;799;gold_special;10000;MLB3231;MLB62330681;JB Estofados Cama Infantil Aurora Juvenil 100% Espuma Berço;0;7;me2;1;active;1
MLB7237063442;catalogo;Poltrona Cadeira Glória Papai E Mamãe Decorativa Com Encosto Macio Retrátil E Reclinável Para Sala De Descanso E Amamentação Cor Caramelo Big Ponme;999;gold_special;9948;MLB458191;MLB62281220;Juliflex Jelc Decor Decorativa Recepção Poltrona 1;0;5;me2;1;active;1
MLB5187696573;catalogo;Poltrona Reclinável Soft Dream De Corino Caramelo Para Amamentação E Descanso Liso;899;gold_special;10000;MLB416807;MLB63036578;Reclinável JB Estofados Cadeira Soft Dream Poltrona 1;0;5;me2;1;paused;1
MLB5137468619;catalogo;Poltrona Cadeira Do Papai Shalom Premium Com Encosto Reclinável Para Hospital Clínica E Sala De Estar Cor Bege - Jb Estofados Liso;999;gold_special;9995;MLB458191;MLB75833859;JB Estofados Premium Reclinável Poltrona 1;0;8;me2;1;active;1
MLB5187349145;catalogo;Poltrona Cadeira Glória Papai E Mamãe Com Encosto Macio Retrátil E Reclinável Decorativa Para Sala De Descanso E Amamentação Cor Bege Liso;899;gold_special;9993;MLB416807;MLB49100203;Poltrona Cadeira Glória Papai E Mamãe Com Encosto Macio Retrátil E Reclinável Decorativa Para Sala De Descanso E Amamentação Cor Bege Liso;0;5;me2;1;active;1
MLB7557572536;catalogo;Ô Dcasa Pera Preto Luxo;279.9;gold_special;10000;MLB31039;MLB74135692;Ô DCasa Pera;0;5;me2;1;paused;1
MLB5146441561;catalogo;Mini Berço Cama Moisés Montessoriana De Espuma Com Colchão Bebê Amamentação Seguro Recém Nascido Proteção Azul Liso;699;gold_special;10000;MLB434391;MLB78458155;JB Estofados Berço Moisés Multifuncional Mini-berço;0;6;me2;1;active;1
MLB5137493883;catalogo;Poltrona Cadeira Do Papai Shalom Premium Com Encosto Reclinável Para Hospital Clínica E Sala De Estar Cor Preta - Jb Estofados Preto Liso;999;gold_special;9995;MLB458191;MLB75833746;JB Estofados Premium Reclinável Poltrona 1;0;7;me2;1;active;1
MLB4936288759;catalogo;Jd Móveis Bonan Poltrona Decorativa Moderna Poltrona Reclinável Do Papai Poltrona 1 Bege Liso;899;gold_special;99910;MLB458191;MLB62082490;Jd Móveis Bonan Poltrona Decorativa Moderna Poltrona Reclinável Do Papai Poltrona 1;0;11;me2;1;active;1
MLB5139240819;catalogo;Cama Infantil Montessoriana Lisa 100% Espuma D26 Segurança E Conforto Para Menino E Menina Capa Removível Com Colchão Cor Rosa - Jb Estofados;899;gold_special;10000;MLB3231;MLB75619377;Jb Estofados Lisa Infantil Juvenil Montessori Berço;0;5;me2;1;active;1
MLB5146441557;catalogo;Mini Berço Cama Moisés Montessoriana De Espuma Com Colchão Bebê Amamentação Seguro Recém Nascido Proteção Rosa Liso;699;gold_special;10000;MLB434391;MLB78458141;Jb Estofados Berço Moisés Multifuncional Mini-berço;0;6;me2;1;active;1
MLB5146441559;catalogo;Mini Berço Cama Moisés Montessoriana De Espuma Com Colchão Bebê Amamentação Seguro Recém Nascido Proteção Bege Liso;699;gold_special;9999;MLB434391;MLB78458122;Jb Estofados Berço Moisés Multifuncional Mini-berço;0;7;me2;1;active;1
MLB5187998001;catalogo;Poltrona Do Papai Reclinável Com Encosto Macio E Retrátil Em Corino Marrom Para Sala De Descanso Da Jb Estofados Liso;799;gold_special;10000;MLB416807;MLB62320463;Jd Móveis JB Estofados Poltrona Papai Premium Poltrona Papai Reclinável Poltrona 1;0;7;me2;1;paused;1
MLB5137506421;catalogo;Poltrona Cadeira Do Papai Shalom Premium Com Encosto Reclinável Para Hospital Clínica E Sala De Estar Cor Marrom - Jb Estofados Liso;999;gold_special;9992;MLB458191;MLB75833560;JB Estofados Premium Reclinável Poltrona 1;0;8;me2;1;active;1
MLB4936210763;catalogo;Poltrona Papai E Mamãe Vitória Encosto Reclinável Para Sala De Descanso E Amamentação Cor Marrom Jb Estofados Liso;799;gold_special;9996;MLB458191;MLB74149694;Jb Estofados Reclinável Lash Designer Vitória Poltrona 1;0;7;me2;1;active;1
MLB7585826754;catalogo;Poltrona Do Papai Reclinável Com Encosto Macio E Retrátil Em Corino Marrom Para Sala De Descanso Da Jb Estofados Liso Marrom Liso;902;gold_special;10000;MLB458191;MLB62320463;Poltrona Do Papai Reclinável Com Encosto Macio E Retrátil Em Corino Marrom Para Sala De Descanso Da Jb Estofados Liso;0;7;me2;1;paused;1
MLB5137468617;catalogo;Poltrona Cadeira Do Papai Shalom Premium Com Encosto Reclinável Para Hospital Clínica E Sala De Estar Cor Caramelo - Jb Estofados Liso;999;gold_special;9999;MLB458191;MLB75833546;JB Estofados Premium Reclinável Poltrona 1;0;8;me2;1;active;1
MLB5187357699;tradicional;Poltrona Cadeira Glória Mamãe E Papai Com Encosto Macio Recl Bege Liso;899;gold_special;9993;MLB416807;MLB49100203;Poltrona Cadeira Glória Mamãe E Papai Com Encosto Macio Recl;0;7;me2;1;active;1
MLB5191251037;catalogo;Poltrona Cadeira Com Encosto Reclinável Retrátil Do Papai Móveis E Da Mamãe Para Sala De Descanso Preto Mobiliahomee Liso Preto Liso;999;gold_special;10000;MLB458191;MLB62555881;Poltrona Cadeira Com Encosto Reclinável Retrátil Do Papai Móveis E Da Mamãe Para Sala De Descanso Preto Mobiliahomee Liso;0;6;me2;1;active;1
MLB7593806746;catalogo;Poltrona Cadeira Do Papai Com Encosto Macio Reclinável E Retrátil Revestido Em Veludo Para Sala De Descanso E Amamentação Cor Bege;999;gold_special;10000;MLB458191;MLB62082490;Jd Móveis Bonan Poltrona Decorativa Moderna Poltrona Reclinável Do Papai Poltrona 1;0;11;me2;1;active;1
MLB5191921461;tradicional;Bonan Casa E Requinte Retrátil Decorativa Poltrona Reclinave Bege;999;gold_special;10000;MLB458191;MLB62082490;Bonan Casa E Requinte Retrátil Decorativa Poltrona Reclinave;0;1;me2;1;active;1
