grupo;mlb_jelc;catalog_product_id;titulo;preco;status_jelc;estoque_jelc;categoria;fotos;envio;frete_gratis;family_name
A-replicar;MLB5183385013;MLB53172876;Poltrona Cadeira Vitória Papai E Mamãe Com Encosto Macio Retrátil E Reclinável Para Amamentação E Sala De Descanso Cor Marrom Liso;799;active;9998;MLB416807;7;me2;1;Juliflex JB Estofados Retrátil Decorativa Vitoria Poltrona 1
A-replicar;MLB4763503649;MLB75658014;Cama Solteiro Montessoriana Premium 100%espumad26 C/ Colchão Azul-marinho New Premium;769;paused;9936;MLB3231;5;me2;1;Cama Solteiro Montessoriana Premium 100%espumad26 C/ Colchão
A-replicar;MLB4763490881;MLB75622936;Cama Solteiro Montessoriana Premium 100%espumad26 C/ Colchão Rosa New Premium;769;paused;9941;MLB3231;6;me2;1;Cama Solteiro Montessoriana Premium 100%espumad26 C/ Colchão
A-replicar;MLB4763503647;MLB65764354;Cama Solteiro Montessoriana Premium 100%espumad26 C/ Colchão Bege New Premium;769;paused;9957;MLB3231;6;me2;1;Cama Solteiro Montessoriana Premium 100%espumad26 C/ Colchão
A-replicar;MLB7316881410;MLB65764354;Cama Infantil Montessoriana Aconchego De Solteiro 100% Espuma Conforto E Segurança Com Colchão Cor Bege - Jb Estofados Aconchego Com Colchão;769;paused;9957;MLB3231;5;me2;1;Cama Infantil Montessoriana Aconchego De Solteiro 100% Espuma Conforto E Segurança Com Colchão Cor Bege - Jb Estofados Aconchego Com Colchão
A-replicar;MLB6928025724;MLB49100257;Poltrona Cadeira C/ Encosto Macio P/ Recepção E Amamentação Bege - Médio Liso;729;paused;25999;MLB458191;3;me2;1;Poltrona Cadeira C/ Encosto Macio P/ Recepção E Amamentação
A-replicar;MLB6928025602;MLB49100257;Poltrona Cadeira C/ Encosto Macio P/ Recepção E Amamentação Terracota Liso;729;paused;10000;MLB458191;3;me2;1;Poltrona Cadeira C/ Encosto Macio P/ Recepção E Amamentação
A-replicar;MLB6928025604;MLB49100257;Poltrona Cadeira C/ Encosto Macio P/ Recepção E Amamentação Bege - Médio Liso;729;paused;25999;MLB458191;3;me2;1;Poltrona Cadeira C/ Encosto Macio P/ Recepção E Amamentação
A-replicar;MLB6928025720;MLB49100257;Poltrona Cadeira C/ Encosto Macio P/ Recepção E Amamentação Off-white Liso;729;paused;25999;MLB458191;3;me2;1;Poltrona Cadeira C/ Encosto Macio P/ Recepção E Amamentação
A-replicar;MLB6928025722;MLB49100257;Poltrona Cadeira C/ Encosto Macio P/ Recepção E Amamentação Terracota Liso;729;paused;10000;MLB458191;3;me2;1;Poltrona Cadeira C/ Encosto Macio P/ Recepção E Amamentação
A-replicar;MLB6928025598;MLB49100257;Poltrona Cadeira C/ Encosto Macio P/ Recepção E Amamentação Cinza-escuro Liso;729;paused;25998;MLB458191;3;me2;1;Poltrona Cadeira C/ Encosto Macio P/ Recepção E Amamentação
A-replicar;MLB6928025718;MLB49100257;Poltrona Cadeira C/ Encosto Macio P/ Recepção E Amamentação Cinza-escuro Liso;729;paused;25998;MLB458191;3;me2;1;Poltrona Cadeira C/ Encosto Macio P/ Recepção E Amamentação
A-replicar;MLB6928025600;MLB49100257;Poltrona Cadeira C/ Encosto Macio P/ Recepção E Amamentação Off-white Liso;729;paused;25999;MLB458191;3;me2;1;Poltrona Cadeira C/ Encosto Macio P/ Recepção E Amamentação
B-jb-ja-tem;MLB4417205791;MLB53926401;Poltrona Reclinável De Couro Sintético Preto Com Porta-copos Liso;899;paused;9951;MLB416807;4;me2;1;Juliflex Jelc Decor Premium Extenção De Cílios Soft Graça Poltrona
B-jb-ja-tem;MLB4435357431;MLB37699580;Poltrona Reclinável Ms Móveis Decor Preto Madeira Encosto Ajustável Corino;899;paused;9999;MLB193945;5;me2;1;MS Móveis Papai Decor Mamãe
