marca;modelo;cor;est;ean_exemplo
Modare;7187.100 EL/CANELADO;7187.100 nude/tan;4;7900123141914
Modare;7142.101 PELE STRECH;15758 preto/preto xp;4;7900350953090
Havaianas;POWER 2.0;preto/azul indigo;4;7909989659632
Modare;7215.102 NOBUCK;preto nobuck;4;7900294795725
Modare;7208.101 MICR PERF SUPREM;35312 branco off a3;3;7900294219504
Vizzano;6371.367 NAPA CALF;15745 preto calf;3;7900245807750
Vizzano;6371.367 NAPA CALF;104068 mocca calf13;3;7900294854972
Havaianas;SLIM LISO;slim liso verde matcha;3;7909989354520
Havaianas;SLIM LISO;sl lis azul brilhante;3;7909989645451
Havaianas;H. BRASIL LOGO 2024/25;verde/amarelo b/logo;3;7909989826676
Havaianas;ELEGANCE LISO;el/lis rosa ballet;3;7909989317648
Modare;7142.101 ELASTICO;102465 avela/camel;3;7900294360206
Vizzano;6553.101 NAPA GARDA;15745 preto01;2;7900350974804
Havaianas;H. BRASIL LOGO 2024/25;h. logo preto;2;7891224864607
Havaianas;POWER 2.0;cinza aco/grafite;2;7909989659687
Havaianas;SLIM POINT;point rosa gum/coral trop;2;7909989711392
Azaleia;18908 FABI LIGHT;AZ804 COBRE/NUDE ESCURO;1;7909937618513
Modare;7142.106 NP/SEN FLEX;15745 preto;1;7900294727290
Havaianas;TOP LISO;top liso cinza aco;1;7893249647852
Under Armour;3027787 UA CORE 2;purple/purple/nebula;1;197780611172
Havaianas;SLIM LISO;slim liso pessego;1;7909989354339
Havaianas;H. BRASIL LOGO 2024/25;h. logo azul naval;1;7895265369848
Havaianas;H. BRASIL LOGO 2024/25;rosa chiffon b/logo;1;7909989826607
Havaianas;DUAL;verde olive/branco;1;7909989459980
Havaianas;SLIM POINT;point rose gold/bege palh;1;7909989587010
Havaianas;SLIM POINT;point cinza aco;1;7909989578568
Havaianas;SLIM POINT;point ferrungem/smok gree;1;7909989711491
Modare;7142.106 TRES BERLIM;102465 avela/camel ber;1;7900407513833
