codigo,descricao,qtde,preco,custo,ult_aquisicao,markup
010365,CHINELO HAVAIANAS H. BRASIL LOGO VERDE/AMARELO,7,69.99,32.97,30/05/26,112.28
008665,CHINELO HAVAIANAS H. BRASIL LOGO H. LOGO PRETO,14,69.99,32.97,08/01/26,112.28
008666,CHINELO HAVAIANAS H. BRASIL LOGO H. LOGO BRANCO,79,69.99,30.36,28/01/26,130.53
010169,CHINELO HAVAIANAS H. BRASIL LOGO BUTTERCREAM N,22,69.99,30.36,11/05/26,130.53
010366,CHINELO HAVAIANAS H. BRASIL LOGO ROSA CHIFFON,2,65.99,32.97,08/01/26,100.15
008664,CHINELO HAVAIANAS H. BRASIL LOGO H. LOGO AZUL,3,69.99,32.97,11/05/26,112.28
008517,CHINELO HAVAIANAS KIDS ATHLETIC HAV AT.,11,49.99,14.81,09/05/25,237.54
009928,CHINELO HAVAIANAS KIDS FLORES ROSA CONFETE,9,42.99,17.49,08/05/26,145.8
009927,CHINELO HAVAIANAS KIDS FLORES BEGE DOURADO,19,42.99,17.49,08/05/26,145.8
009013,CHINELO HAVAIANAS KIDS HEROIS K HER CINZA ACO,3,59.99,27.16,17/11/25,120.88
009012,CHINELO HAVAIANAS KIDS HEROIS K HER MARINHO,18,59.99,27.16,29/01/25,120.88
010339,CHINELO HAVAIANAS KIDS MINECRAFT 1077,8,69.99,39.12,09/04/26,78.91
010338,CHINELO HAVAIANAS KIDS TOP 0555 MARINHO,11,64.99,29.47,09/04/26,120.53
009940,CHINELO HAVAIANAS N.B.D.CLASSICS ROSA GLOW,7,54.99,23.99,08/05/26,129.22
008735,CHINELO HAVAIANAS PRICE TUBE PRICE-TUBE PINK,2,29.99,14.37,15/07/25,108.7
008733,CHINELO HAVAIANAS PRICE TUBE PRICE TUBE -PRETO,2,29.99,14.37,15/07/25,108.7
009995,CHINELO HAVAIANAS SIMPSONS 25/26 BRANCO/AZUL,60,79.99,23.55,22/06/26,239.66
010108,CHINELO HAVAIANAS SLIM ANIMALS ROSE GOLD ANIMALS,5,59.99,26.15,08/05/26,129.41
008653,CHINELO HAVAIANAS SLIM GLOSS H. GLOSS AMARANTO,2,54.99,26.17,01/12/25,110.13
008518,CHINELO HAVAIANAS SLIM ORGANIC HAV.SLIM,1,57.9,27.32,03/05/25,111.93
008615,CHINELO HAVAIANAS SLIM ORGANIC H.SLIM ROSA/ROSE,1,57.9,27.32,01/12/25,111.93
