codigo_pai;produto;marca;agrupador;cor;situacao;pares;anuncios;fotos_da_cor;fotos_do_produto;pastas_do_produto;sobra_de_foto;anuncios_com_foto_errada;preco_ml
2388326;Chinelo Slide Under Armour 3027787 UA Core 2;Under Armour;2388326-purplepurplenebula;purple/purple/nebula 35/36;FALTA;1;0;0;24;1;16;0;163.9
2342603;Tamanco Azaleia 18908 Fabi Light;Azaleia;2342603-18908BEGEMARROMMAKE;18908 bege/marrom make 33/34;no ar;4;3;14;14;1;6;0;89.9
2342603;Tamanco Azaleia 18908 Fabi Light;Azaleia;2342603-FLAV596PRETO;FL AV596 PRETO 33/34;FALTA;31;0;0;14;1;6;0;89.9
2342603;Tamanco Azaleia 18908 Fabi Light;Azaleia;2342603-marromcafe;marrom cafe 33/34;FALTA;18;0;0;14;1;6;0;89.9
2342603;Tamanco Azaleia 18908 Fabi Light;Azaleia;2342603-AZ804COBRENUDEESCURO;AZ804 COBRE/NUDE ESCURO 33/34;FALTA;1;0;0;14;1;6;0;89.9
2361827;Chinelo Havaianas Top Liso;Havaianas;2361827-TOPLPRETO;top l preto 33/34;no ar;126;8;0;51;1;43;0;46.9
2361827;Chinelo Havaianas Top Liso;Havaianas;2361827-TOPLBRANCO;top l branco 33/34;no ar;121;8;0;51;1;43;0;46.9
2361827;Chinelo Havaianas Top Liso;Havaianas;2361827-TOPLAZULNAVAL;top l azul naval 33/34;no ar;52;8;0;51;1;43;0;46.9
2361827;Chinelo Havaianas Top Liso;Havaianas;2361827-TOPLAMARELOPOP;top l amarelo pop 33/34;no ar;22;8;51;51;1;43;8;46.9
2361827;Chinelo Havaianas Top Liso;Havaianas;2361827-TOPLMARINHO;top l marinho 33/34;FALTA;32;0;0;51;1;43;0;46.9
2361827;Chinelo Havaianas Top Liso;Havaianas;2361827-vermelhoapachetopli;vermelho apache top li 33/34;FALTA;15;0;0;51;1;43;0;46.9
2361827;Chinelo Havaianas Top Liso;Havaianas;2361827-TOPLISOCINZAACO;top liso cinza aco 33/34;FALTA;1;0;0;51;1;43;0;46.9
2361827;Chinelo Havaianas Top Liso;Havaianas;2361827-TOPLISOVERDEPATRIA;top liso verde patria 33/34;esgotada;0;0;0;51;1;43;0;46.9
2600635;Chinelo Cartago Masculino 12640 Durban;Cartago;2600635-by985pretobege;by985 preto/bege 37/38;no ar;52;6;18;18;1;10;0;64.9
2600635;Chinelo Cartago Masculino 12640 Durban;Cartago;2600635-by989marrommarrom;by989 marrom/marrom 37/38;FALTA;47;0;0;18;1;10;0;64.9
2366747;Chinelo Cartago 11840 Atlanta;Cartago;2366747-AJ521CATLMARROMMARROM;aj521c/atl marrom/marrom 37/38;no ar;31;6;14;14;1;6;0;46.9
2366747;Chinelo Cartago 11840 Atlanta;Cartago;2366747-AS401CATLPRETOPRETO;as401c/atl preto/preto 37/38;FALTA;45;0;0;14;1;6;0;46.9
2640259;Chinelo Slide Nuvem Zaxy Air 19419;Zaxy;2640259-cb546preto;cb546 preto 33/34;no ar;19;7;15;15;1;7;0;110.9
2640259;Chinelo Slide Nuvem Zaxy Air 19419;Zaxy;2640259-cb548marromurso;cb548 marrom urso 33/34;FALTA;23;0;0;15;1;7;0;110.9
2640259;Chinelo Slide Nuvem Zaxy Air 19419;Zaxy;2640259-cb547offwhitemedio;cb547 off white medio 33/34;FALTA;22;0;0;15;1;7;0;110.9
2344016;Papete Slide Modare 7208.101 Nobuck;Modare;2344016-108352alecrimn;108352 alecrim n 33;no ar;522;7;0;0;0;0;0;119.99
2344016;Papete Slide Modare 7208.101 Nobuck;Modare;2344016-avelasoft;avela soft 33;no ar;283;7;0;0;0;0;0;119.99
2344016;Papete Slide Modare 7208.101 Nobuck;Modare;2344016-83517cremea1;83517 creme a1 33;no ar;100;7;0;0;0;0;0;119.99
2344016;Papete Slide Modare 7208.101 Nobuck;Modare;2344016-15745PRETONOBU;15745 preto nobu 33;no ar;73;7;0;0;0;0;0;119.99
2344016;Papete Slide Modare 7208.101 Nobuck;Modare;2344016-52531NUDENOBU;52531 nude  nobu 33;FALTA;41;0;0;0;0;0;0;119.99
2601946;Tenis Feminino Actvitta 4841.103 Loc Salem;Actvitta;2601946-15758pretobranco;15758 preto/branco 34;no ar;41;6;22;22;1;14;0;216.9
2601946;Tenis Feminino Actvitta 4841.103 Loc Salem;Actvitta;2601946-16143pretopretopreto;16143 preto/preto/preto 34;FALTA;39;0;0;22;1;14;0;216.9
2363772;Chinelo Havaianas Aloha 24/25;Havaianas;2363772-HAV.ALOBRANCOBRAVERDE;hav.alo/branco/bra/verde 37/38;no ar;30;4;9;9;1;1;0;59.9
2363772;Chinelo Havaianas Aloha 24/25;Havaianas;2363772-HAV.ALOMARINHOMARINHO;hav.alo/marinho/marinho 37/38;FALTA;22;0;0;9;1;1;0;59.9
2363772;Chinelo Havaianas Aloha 24/25;Havaianas;2363772-HAV.ALOPRETOPRETOCZ;hav.alo/preto/preto/cz 37/38;FALTA;14;0;0;9;1;1;0;59.9
2652172;Tamanco Plataforma Feminino Modare 7226.101 Nob Ultra;Modare;2652172-100196avelaa;100196 avela  a 33;no ar;24;7;12;12;1;4;0;163.9
2652172;Tamanco Plataforma Feminino Modare 7226.101 Nob Ultra;Modare;2652172-15745pretoa11;15745 preto a11 33;FALTA;24;0;0;12;1;4;0;163.9
2568442;Rasteira Feminina Vizzano 6371.1005 Pelica;Vizzano;2568442-107262begegoldenbranco;107262 bege golden/branco 34;no ar;8;5;17;17;1;9;0;131.9
2568442;Rasteira Feminina Vizzano 6371.1005 Pelica;Vizzano;2568442-85432pretocristalpreto;85432 preto/cristal/preto 34;FALTA;18;0;0;17;1;9;0;131.9
2568442;Rasteira Feminina Vizzano 6371.1005 Pelica;Vizzano;2568442-109616chocolate;109616 chocolate 34;FALTA;4;0;0;17;1;9;0;131.9
2647725;Chinelo Slide Feminino Actvitta EVA 4862.100;Actvitta;2647725-110395blushrosa;110395 blush/rosa 33;no ar;12;6;12;12;1;4;6;99.9
2647725;Chinelo Slide Feminino Actvitta EVA 4862.100;Actvitta;2647725-15745pretosll;15745 preto sll 33;FALTA;14;0;0;12;1;4;0;99.9
2647725;Chinelo Slide Feminino Actvitta EVA 4862.100;Actvitta;2647725-62016verdeagua;62016 verde agua 33;FALTA;7;0;0;12;1;4;0;99.9
2619942;Papete Slide Feminina Moleca 5500.125 New Nancy;Moleca;2619942-100196avelan;100196 avela n 33;no ar;8;6;8;8;1;0;0;179.9
2619942;Papete Slide Feminina Moleca 5500.125 New Nancy;Moleca;2619942-35312brancooffa;35312 branco off a 33;FALTA;19;0;0;8;1;0;0;179.9
2640234;Papete Slide Feminina Moleca Suprema 5490.132;Moleca;2640234-101321chocolatea1;101321 chocolate a1 33;no ar;16;7;10;10;1;2;0;110.9
2640234;Papete Slide Feminina Moleca Suprema 5490.132;Moleca;2640234-15745pretoa4;15745 preto a4 33;FALTA;18;0;0;10;1;2;0;110.9
2391440;Chinelo Havaianas Slim Point;Havaianas;2391440-amarantoamarelon;amaranto/amarelo n 33/34;no ar;11;6;27;27;1;19;6;84.9
2391440;Chinelo Havaianas Slim Point;Havaianas;2391440-pointferrungemsmokgree;point ferrungem/smok gree 33/34;FALTA;7;0;0;27;1;19;0;84.9
2391440;Chinelo Havaianas Slim Point;Havaianas;2391440-pointcinzaaco;point cinza aco 33/34;FALTA;3;0;0;27;1;19;0;84.9
2391440;Chinelo Havaianas Slim Point;Havaianas;2391440-pointrosagumcoraltrop;point rosa gum/coral trop 33/34;FALTA;3;0;0;27;1;19;0;84.9
2391440;Chinelo Havaianas Slim Point;Havaianas;2391440-pointrosegoldbegepalh;point rose gold/bege palh 33/34;FALTA;2;0;0;27;1;19;0;84.9
2447312;Tamanco Slide Modare 7215.102 Suprema;Modare;2447312-preto01;preto 01 35;no ar;14;5;26;26;1;18;0;173.9
2447312;Tamanco Slide Modare 7215.102 Suprema;Modare;2447312-verdesalvia;verde salvia 35;FALTA;15;0;0;26;1;18;0;173.9
2644016;Sandalia Papete Feminino Modare London 7200.113;Modare;2644016-106596caramelo;106596 caramelo 33;no ar;21;7;10;10;1;2;7;184.9
2644016;Sandalia Papete Feminino Modare London 7200.113;Modare;2644016-15745pretoa6;15745 preto a6 33;FALTA;13;0;0;10;1;2;0;184.9
2620426;Papete Slide Feminina Zaxy 19359 Mood;Zaxy;2620426-by043offwhiteclaro;by043 off white claro 33/34;no ar;10;5;15;15;1;7;0;104.9
2620426;Papete Slide Feminina Zaxy 19359 Mood;Zaxy;2620426-by047preto;by047 preto 33/34;FALTA;12;0;0;15;1;7;0;104.9
2658055;Tenis Casual Feminino Actvitta Australia 4841.100;Actvitta;2658055-camelnude109494;camel/nude 109494 33;no ar;8;6;8;8;1;0;0;226.9
2658055;Tenis Casual Feminino Actvitta Australia 4841.100;Actvitta;2658055-pretocinza102156;preto/cinza 102156 33;FALTA;11;0;0;8;1;0;0;226.9
2363773;Chinelo Havaianas Dual;Havaianas;2363773-DUALBRANCOCINZAGELO;dual branco cinza gelo 35/36;no ar;22;3;12;12;1;4;3;74.9
2363773;Chinelo Havaianas Dual;Havaianas;2363773-DUALPRETOCINZAACO;dual preto/cinza aco 35/36;FALTA;10;0;0;12;1;4;0;74.9
2363773;Chinelo Havaianas Dual;Havaianas;2363773-VERDEOLIVEBRANCO;verde olive/branco 37/38;FALTA;1;0;0;12;1;4;0;74.9
2363773;Chinelo Havaianas Dual;Havaianas;2363773-DUALMARINHOMARINHO;dual marinho/marinho 35/36;esgotada;0;0;0;12;1;4;0;74.9
2550276;Babuche Molekinho 2874.204 gas/injet;Molekinho;2550276-102997pretoamareloneon;102997preto/amarelo/neon 23/24;no ar;15;9;7;7;1;-1;9;120.9
2550276;Babuche Molekinho 2874.204 gas/injet;Molekinho;2550276-105739marinholaranja;105739 marinho/laranja 23/24;FALTA;9;0;0;7;1;-1;0;120.9
2363789;Chinelo Havaianas Top Basic;Havaianas;2363789-TBASICBRANCOBRBRANCO;t basic branco/br/branco 35/36;no ar;34;4;9;9;1;1;4;46.9
2363789;Chinelo Havaianas Top Basic;Havaianas;2363789-TBASICPRETOPREBRANCO;t basic preto/pre/branco 35/36;no ar;5;3;0;9;1;1;3;46.9
2363789;Chinelo Havaianas Top Basic;Havaianas;2363789-TBASICMARINHOMARBRANC;t basic marinho/mar/branc 35/36;FALTA;9;0;0;9;1;1;0;46.9
2598698;Chinelo Rasteira Feminina Slide Vizzano 6371.367 Napa Calf;Vizzano;2598698-102051areiacalf;102051 areia calf 34;no ar;11;5;18;18;1;10;0;88.9
2598698;Chinelo Rasteira Feminina Slide Vizzano 6371.367 Napa Calf;Vizzano;2598698-15745pretocalf;15745 preto calf 34;FALTA;3;0;0;18;1;10;0;88.9
2598698;Chinelo Rasteira Feminina Slide Vizzano 6371.367 Napa Calf;Vizzano;2598698-104068moccacalf13;104068 mocca calf13 34;FALTA;3;0;0;18;1;10;0;88.9
2568459;Rasteira Feminina Vizzano 6553.101 Napa Garda;Vizzano;2568459-104068mocca;104068 mocca 34;no ar;2;2;20;20;1;12;0;104.9
2568459;Rasteira Feminina Vizzano 6553.101 Napa Garda;Vizzano;2568459-15745preto01;15745 preto01 34;FALTA;2;0;0;20;1;12;0;104.9
