"Id Anuncio";"Código Marketplace";"Id Marketplace";"Conf. Loja Marketplace";Loja;"Id Derivação";"Código Produto";Produto;Derivação;Título;EAN;"Id Preço";"Preço Antigo";Preço;"Preço Custo Médio";"Preço Custo Atual";Estoque;"Redutor Estoque";"Sit. Envio";Ativo;"Prazo Expedição";"Origem Prazo Expedição";"Data Envio";
1095;1736809601436058965;67;"7 - Chinelaria Leilane Neves x TikTok Shop";"1 - Chinelaria Leilane Neves";63914;2658078;"Tenis Sport Feminino Actvitta Ny Kansas 4863.400";;;;30637;0,00;385,90;0,00;0,00;12;1;Enviado;Sim;0;;"31/07/2026 11:20:08";https://shop.tiktok.com/view/product/1736809601436058965?region=BR&locale=pt-BR&source=seller_center&no-cache=1&e=1
1094;1736809572609656149;67;"7 - Chinelaria Leilane Neves x TikTok Shop";"1 - Chinelaria Leilane Neves";63946;2658119;"Sapatenis Actvitta Masculino Neo Beta 4929.101";;;;30636;0,00;194,90;0,00;0,00;21;1;Enviado;Sim;0;;"31/07/2026 11:20:19";https://shop.tiktok.com/view/product/1736809572609656149?region=BR&locale=pt-BR&source=seller_center&no-cache=1&e=1
1093;1736809572557751637;67;"7 - Chinelaria Leilane Neves x TikTok Shop";"1 - Chinelaria Leilane Neves";63555;2656876;"Tenis Esportivo Masculino Actvitta Kansas 4952.400";;;;30635;0,00;406,90;0,00;0,00;11;1;Enviado;Sim;0;;"31/07/2026 11:20:48";https://shop.tiktok.com/view/product/1736809572557751637?region=BR&locale=pt-BR&source=seller_center&no-cache=1&e=1
1092;1736809541705827669;67;"7 - Chinelaria Leilane Neves x TikTok Shop";"1 - Chinelaria Leilane Neves";63793;2657927;"Tenis Esportivo Masculino Actvitta Australia 4952.201";;;;30634;0,00;417,90;0,00;0,00;13;1;Enviado;Sim;0;;"31/07/2026 11:21:00";https://shop.tiktok.com/view/product/1736809541705827669?region=BR&locale=pt-BR&source=seller_center&no-cache=1&e=1
1091;1736809359549826389;67;"7 - Chinelaria Leilane Neves x TikTok Shop";"1 - Chinelaria Leilane Neves";64221;2659414;"Babuche menino Infantil Kidstep Dinossauro 2169.036";;;;30633;0,00;46,90;0,00;0,00;22;1;Enviado;Sim;0;;"31/07/2026 11:10:39";https://shop.tiktok.com/view/product/1736809359549826389?region=BR&locale=pt-BR&source=seller_center&no-cache=1&e=1
1090;1736809359549105493;67;"7 - Chinelaria Leilane Neves x TikTok Shop";"1 - Chinelaria Leilane Neves";64220;2659413;"Babuche Infantil Menino Kidstep Astronalta 2169.049";;;;30632;0,00;46,90;0,00;0,00;18;1;Enviado;Sim;0;;"31/07/2026 11:10:30";https://shop.tiktok.com/view/product/1736809359549105493?region=BR&locale=pt-BR&source=seller_center&no-cache=1&e=1
1088;1736809479499122005;67;"7 - Chinelaria Leilane Neves x TikTok Shop";"1 - Chinelaria Leilane Neves";64244;2659429;"Babuche Infantil Menina Kidstep Capivara 2169.098";;;;30630;0,00;46,90;0,00;0,00;14;1;Enviado;Sim;0;;"31/07/2026 11:10:08";https://shop.tiktok.com/view/product/1736809479499122005?region=BR&locale=pt-BR&source=seller_center&no-cache=1&e=1
1087;1736809479067174229;67;"7 - Chinelaria Leilane Neves x TikTok Shop";"1 - Chinelaria Leilane Neves";64245;2659430;"Babuche Infantil Menina Kidstep Margarida 2169.029";;;;30629;0,00;46,90;0,00;0,00;26;1;Enviado;Sim;0;;"31/07/2026 11:09:58";https://shop.tiktok.com/view/product/1736809479067174229?region=BR&locale=pt-BR&source=seller_center&no-cache=1&e=1
1086;1736809464083416405;67;"7 - Chinelaria Leilane Neves x TikTok Shop";"1 - Chinelaria Leilane Neves";64247;2659431;"Babuche Infantil Menina Kidstep Borboleta 2169.111";;;;30628;0,00;46,90;0,00;0,00;16;1;Enviado;Sim;0;;"31/07/2026 11:09:45";https://shop.tiktok.com/view/product/1736809464083416405?region=BR&locale=pt-BR&source=seller_center&no-cache=1&e=1
1084;1736793213563471189;67;"7 - Chinelaria Leilane Neves x TikTok Shop";"1 - Chinelaria Leilane Neves";64395;2659766;"Papete Slide Feminino Modare Nobuck Onça 7208.101";;"Papete Slide Feminino Modare Nobuck Onça 7208.101";;30626;0,00;152,90;0,00;0,00;196;1;Enviado;Sim;0;;"30/07/2026 10:58:55";https://shop.tiktok.com/view/product/1736793213563471189?region=BR&locale=pt-BR&source=seller_center&no-cache=1&e=1
1083;1735815411587515733;67;"7 - Chinelaria Leilane Neves x TikTok Shop";"1 - Chinelaria Leilane Neves";59395;2585111;"Babuche LED Infantil Molekinho 2874.407 EVA";;"Babuche LED Infantil Molekinho 2874.407";;30095;0,00;141,90;0,00;0,00;136;1;Enviado;Sim;0;;;https://shop.tiktok.com/view/product/1735815411587515733?region=BR&locale=pt-BR&source=seller_center&no-cache=1&e=1
1082;1736430197864564053;67;"7 - Chinelaria Leilane Neves x TikTok Shop";"1 - Chinelaria Leilane Neves";63112;2651931;"Tamanco Plataforma Feminino Modare 7226.102 Ultra Soft";;"Tamanco Plataforma Feminino Modare 7226.102";;29883;0,00;163,90;0,00;0,00;39;1;Enviado;Sim;0;;"07/07/2026 17:27:11";https://shop.tiktok.com/view/product/1736430197864564053?region=BR&locale=pt-BR&source=seller_center&no-cache=1&e=1
1081;1736429380888921429;67;"7 - Chinelaria Leilane Neves x TikTok Shop";"1 - Chinelaria Leilane Neves";63143;2652172;"Tamanco Plataforma Feminino Modare 7226.101 Nob Ultra";;"Tamanco Plataforma Feminino Modare 7226";;29882;0,00;163,90;0,00;0,00;48;1;Enviado;Sim;0;;"07/07/2026 17:27:34";https://shop.tiktok.com/view/product/1736429380888921429?region=BR&locale=pt-BR&source=seller_center&no-cache=1&e=1
560;1736214480062088533;67;"7 - Chinelaria Leilane Neves x TikTok Shop";"1 - Chinelaria Leilane Neves";55743;2544386;"Chinelo Dedo Ipanema 27507 Pluma";;"Chinelo Dedo Ipanema 27507 Pluma";;29055;0,00;41,90;0,00;0,00;59;1;Enviado;Sim;0;;"23/06/2026 15:12:54";https://shop.tiktok.com/view/product/1736214480062088533?region=BR&locale=pt-BR&source=seller_center&no-cache=1&e=1
559;1736214629899797845;67;"7 - Chinelaria Leilane Neves x TikTok Shop";"1 - Chinelaria Leilane Neves";37387;2358786;"Chinelo Havaianas Elegance Liso";;"Chinelo Havaianas Elegance Liso";;29054;0,00;30,90;0,00;0,00;16;1;Enviado;Sim;0;;"23/06/2026 15:13:26";https://shop.tiktok.com/view/product/1736214629899797845?region=BR&locale=pt-BR&source=seller_center&no-cache=1&e=1
558;1736215116033066325;67;"7 - Chinelaria Leilane Neves x TikTok Shop";"1 - Chinelaria Leilane Neves";49737;2389096;"Chinelo Slim Havaianas Elegance Print ";;"Chinelo Slim Havaianas Elegance Print";;29053;0,00;47,90;0,00;0,00;27;1;Enviado;Sim;0;;"23/06/2026 15:13:48";https://shop.tiktok.com/view/product/1736215116033066325?region=BR&locale=pt-BR&source=seller_center&no-cache=1&e=1
557;1736215151083881813;67;"7 - Chinelaria Leilane Neves x TikTok Shop";"1 - Chinelaria Leilane Neves";50918;2398720;"Chinelo Slim Havaianas Palette Glow 25/6";;"Chinelo Slim Havaianas Palette Glow";;29052;0,00;76,90;0,00;0,00;65;1;Enviado;Sim;0;;"23/06/2026 15:14:05";https://shop.tiktok.com/view/product/1736215151083881813?region=BR&locale=pt-BR&source=seller_center&no-cache=1&e=1
556;1736214480893019477;67;"7 - Chinelaria Leilane Neves x TikTok Shop";"1 - Chinelaria Leilane Neves";54873;2526416;"Chinelo Dedo Havaianas Top Herois 25/26";;"Chinelo Dedo Havaianas Top Herois";;29051;0,00;78,90;0,00;0,00;67;1;Enviado;Sim;0;;"23/06/2026 15:14:27";https://shop.tiktok.com/view/product/1736214480893019477?region=BR&locale=pt-BR&source=seller_center&no-cache=1&e=1
554;1736214481303012693;67;"7 - Chinelaria Leilane Neves x TikTok Shop";"1 - Chinelaria Leilane Neves";49744;2389164;"Chinelo Havaianas Top Surfer 2025/26";;"Chinelo Havaianas Top Surfer";;29049;0,00;74,90;0,00;0,00;18;1;Enviado;Sim;0;;"23/06/2026 15:15:00";https://shop.tiktok.com/view/product/1736214481303012693?region=BR&locale=pt-BR&source=seller_center&no-cache=1&e=1
548;1736215088509060437;67;"7 - Chinelaria Leilane Neves x TikTok Shop";"1 - Chinelaria Leilane Neves";56364;2546287;"Chinelo Havaianas Top Summer Vibes";;"Chinelo Havaianas Top Summer Vibes";;29043;0,00;63,90;0,00;0,00;23;1;Enviado;Sim;0;;"23/06/2026 15:16:47";https://shop.tiktok.com/view/product/1736215088509060437?region=BR&locale=pt-BR&source=seller_center&no-cache=1&e=1
547;1736215089290118485;67;"7 - Chinelaria Leilane Neves x TikTok Shop";"1 - Chinelaria Leilane Neves";40409;2364666;"Chinelo Havaianas Power 2.0 ";;"Chinelo Havaianas Power 2.0 cinza";;29042;0,00;78,90;0,00;0,00;64;1;Enviado;Sim;0;;"23/06/2026 15:17:16";https://shop.tiktok.com/view/product/1736215089290118485?region=BR&locale=pt-BR&source=seller_center&no-cache=1&e=1
546;1736215153777673557;67;"7 - Chinelaria Leilane Neves x TikTok Shop";"1 - Chinelaria Leilane Neves";50919;2398721;"Chinelo Havaianas Slim Tropical ";;"Chinelo Havaianas Slim Tropical";;29041;0,00;84,90;0,00;0,00;77;1;Enviado;Sim;0;;"23/06/2026 15:18:33";https://shop.tiktok.com/view/product/1736215153777673557?region=BR&locale=pt-BR&source=seller_center&no-cache=1&e=1
544;1736215090085987669;67;"7 - Chinelaria Leilane Neves x TikTok Shop";"1 - Chinelaria Leilane Neves";39864;2363740;"Chinelo Havaianas Top Athletic 24/25";;"Chinelo Havaianas Top Athletic";;29039;0,00;53,90;0,00;0,00;112;1;Enviado;Sim;0;;"23/06/2026 15:19:18";https://shop.tiktok.com/view/product/1736215090085987669?region=BR&locale=pt-BR&source=seller_center&no-cache=1&e=1
