sku;custo;imposto;observacao
POLTMONA_LINHOAZULPETROLEO;340,00;7%;renomeado de POLTRONAMONA-AZULPETROLEO (padrao SKU do Daniel) - 06/09/2026
SFMOBLY180_VELUDOAZUL;747,00;7%;renomeado de SOFACAMA-AZUL180 (padrao SKU do Daniel) - 06/09/2026
SFMOBLY180_VELUDOAZULTURQUESA;747,00;7%;renomeado de SOFACAMA-AZULTURQUESA180 (padrao SKU do Daniel) - 06/09/2026
SFMOBLY180_VELUDOMARROM;747,00;7%;renomeado de SOFACAMA-MARROM180 (padrao SKU do Daniel) - 06/09/2026
SFMOBLY180_VELUDOTERRACOTA;747,00;7%;renomeado de SOFACAMA-TERRACOTA180 (padrao SKU do Daniel) - 06/09/2026
SFYARA180_CINZA;762,00;7%;renomeado de SOFAYARA-CINZA180 (padrao SKU do Daniel) - 06/09/2026
SFBENY180_LINHOAZUL;610,00;7%;renomeado de SFBENNY180_LINHO_AZUL / SOFABENY-LINHOAZUL180 (padrao SKU do Daniel, corrigido "Benny"->"Beny") - 06/09/2026
SFBENY180_LINHOVERDE;610,00;7%;renomeado de SFBENNY180_LINHO_VERDE (padrao SKU do Daniel, corrigido "Benny"->"Beny") - 06/09/2026
POLTMANU_LINHOCINZA;350,00;7%;renomeado de POLTRONANUVEMCONFORT-CINZA (padrao SKU do Daniel, Nuvem Confort = Manu) - 06/09/2026
SFMANU_LINHOCINZA;550,00;7%;renomeado de SFMANU_CINZA (padrao SKU do Daniel, Sofa Nuvem = Sofa Manu) - 06/09/2026
SFMANU_LINHOBEGE;550,00;7%;renomeado de SOFANUVEM-BEGE (padrao SKU do Daniel, Sofa Nuvem = Sofa Manu) - 06/09/2026
SFBENY180_LINHOPRETO;610,00;7%;renomeado de SFBENY180-VELUDOPRETO (tecido confirmado como linho, nao veludo) — custo por consistencia de familia (mesmo valor bege/cinza/azul/verde 180 linho), sem entrada propria na planilha - 06/09/2026
