sku;item_id;titulo;status;preco;estoque;custo;imposto
POLTRONABENY-CINZA;MLB7560889244;Poltrona Beny Pés E Base Em Madeira Linho Facilita Brasil Cinza Linho;paused;799.99;1000;350,00;7,0%
POLTRONABENY-PRETO;MLB7560889246;Poltrona Beny Pés E Base Em Madeira Linho Facilita Brasil Preto Linho;paused;799.99;1000;350,00;7,0%
POLTRONABENY-CORINOPRETO;MLB7560889248;Poltrona Beny Pés E Base Em Madeira Linho Facilita Brasil Corino Preto Linho;paused;799.99;1000;374,50;7,0%
SFMOBLY180_VELUDOCINZA;MLB7569330076;Sofá Cama Retrátil Reclinável Sala Espera Tv Moderno Macio Cinza;active;1526.99;9998;;
SOFAMILAO-PRETO180;MLB7569455660;Puff Sofa-1,80 Elegante Corino  Sofisticado Caramelo Luxo Preto;paused;1590.0;1000;700,00;7,0%
SOFAMILAO-PRETO180;MLB7569472398;Sofá Beny 180cm Estofado Confortável Madeira Forte Sala C/ Almofada De Brinde Estar Moderno Hall Corino Preto Liso;under_review;1500.0;999;700,00;7,0%
SFYARA140_VELUDOBEGE;MLB7572218054;Facilita Brasil Premium Estofado Conforto Sala Sofá 1 Bege Capitonê;paused;1000.0;1700;650,00;7,0%
SFYARA140_VELUDOCINZA;MLB7572218056;Facilita Brasil Premium Estofado Conforto Sala Sofá 1 Grafite Capitonê;paused;1000.0;2000;650,00;7,0%
SFYARA140_VELUDOMARROM;MLB7572218058;Sofá Cama Reclinável Yara Suede Capitonê Sala Tv Hall Entrada Restaurante Apartamento Recepção Decorativo Moderno Leve Marrom 140cm;paused;1000.0;1500;650,00;7,0%
ESCME4153VERM;MLB7573915348;Escrivaninha Gamer Maxi Do Brasil Preta E Vermelha Para Pc E Monitor Preto/vermelho;active;467.6;54;192,00;7,0%
KIT2POLTMONA_LINHOCINZA;MLB7573952454;Conjunto 2 Poltronas Decorativa Mona Luxo Pés Em Madeira Maciça Cor Linho Cinza Direto Da Fabrica Facilita Brasil Liso;active;1260.69;10000;680,00;7,0%
KIT2POLTMONA_LINHOBEGE;MLB7573969606;Conjunto Com 2 Poltronas Bella Design Poltrona Mona Cor Bege Linho;active;1430.0;9999;680,00;7,0%
SFYARA140_VELUDOCINZA;MLB7574016014;Sofá Cama Reclinável Yara Suede Capitonê Sala Tv Hall Entrada Restaurante Apartamento Recepção Decorativo Moderno Leve Grafite 140cm;active;1336.99;9999;650,00;7,0%
POLTBENY_LINHOCINZA;MLB7574032590;Poltrona Benny Pés Base Madeira Linho Cotton Para Sala Cinza;active;891.99;9998;350,00;7,0%
POLTMONA_LINHO_AZULPETROLEO;MLB7574051766;Poltrona Corino Decorativa Cadeira Moderna Madeira Sala Cor Azul-petróleo Linho Desenho Do Tecido Liso;active;799.0;10000;;
POLTMANU_LINHO_CINZA;MLB7574060246;Poltrona Nuvem Confort Sala Leve Barbearia Restaurante Leve Cinza Liso;active;979.02;9997;;
POLTMONA_LINHOBEGE;MLB7574066310;Poltrona Decorativa Luxo Mona Madeira Maciça Cores Cor Linho Bege;active;932.99;9974;340,00;7,0%
POLTMONA_CORINOCARAMELO;MLB7574070138;Poltrona Decorativa Mona Luxo Madeira Maciça Desenho Do Tecido Caramelo Direto Da Fabrica Facilit Brasil Variadas Liso;active;921.9;9942;340,00;7,0%
SFBENY140_LINHOBEGE;MLB7574074344;Sofá Beny De 2 Lugares Para Sala, 140cm, Em Linho Bege Com Pés De Madeira Da Facilita Brasil;active;1519.99;9986;580,00;7,0%
SFBENY140_LINHOAZUL;MLB7574140508;Sofá Estofado Moderno Para Sala Confortável Com Estrutura E Pés De Madeira Azul Linho Premium Liso;active;1319.9;9998;580,00;7,0%
SFBENY140_LINHO_VERDE;MLB7574142498;Sofá Beny Linho Verde 140cm Recepção Decorativo Moderno Leve Verde Liso;active;1288.99;9998;580,00;7,0%
SFMOBLY180_AZUL;MLB7574143592;Sofá Cama Futon Barbearia Recepção Decorativo Moderno Leve Sala Tv Espera Hall Restaurante 180cm Azul Capitonê;active;1644.99;9999;;
SFMOBLY180_VELUDOBEGE;MLB7574144860;Sofá Cama Bege Suede Reclinável Estofado Sala Leve Madeira Bege Liso;active;1485.12;9992;;
SFMOBLY180_MARROM;MLB7574145784;Sofá-cama Facilita Brasil 1 80 Marrom Confort Divino Retrátil Moderno Confortável Direto Da Fabrica Design Luxo Liso;active;1640.0;9977;;
SFMILAO180_CORINOCARAMELO;MLB7574148716;Sofa Sala De Luxo Namoradeira Moderna Barbearia Couro Leve Caramelo Corino;active;1520.0;9987;700,00;7,0%
SFYARA140_VELUDOMARROM;MLB7574153008;Sofá Cama Reclinável Yara Suede Capitonê Sala Tv Hall Entrada Restaurante Apartamento Recepção Decorativo Moderno Leve Marrom 140cm;active;1336.99;9998;650,00;7,0%
SFYARA140_VELUDO_CINZA;MLB7574181580;Sofá Yara Suede Cinza Sala Recepção Decorativo Moderno Leve Cinza Capitonê;under_review;1336.99;9999;650,00;7,0%
SFYARA140_VELUDO_CINZA;MLB7574182714;Sofá Yara Suede Cinza Sala Recepção Decorativo Moderno Leve Cinza Capitonê;active;1336.99;9999;650,00;7,0%
SOFAYARAFORNEC-CINZA140;MLB7574182716;Sofá Cama Reclinável Yara Suede Capitonê Sala Tv Hall Entrada Restaurante Apartamento Recepção Decorativo Moderno Leve Grafite 140cm;under_review;1336.99;9999;650,00;7,0%
SFMILAO140_CORINO_PRETO;MLB7574192874;Gf8 Ecommerce - Sofá Decorativo Estofado Courino Com Almofadas Barato Pequeno Para Sala De Recepção Clinica Preto Liso;active;1360.0;9997;500,00;7,0%
